name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,tier,score,score_breakdown,exclusion_reason,growth_12m_pct,growth_3m_pct,follower_growth_12m_pct,last_funding_round,last_funding_date,total_investment_usd,role_eng_pct,role_ops_pct,role_research_pct,role_qa_pct,rev_lower_usd,rev_higher_usd,founded_year,acquisition_status,ipo_date,follower_count,linkedin_id_resolved
Corden Pharma - A Full-Service CDMO,CHE,Basel,1863,"cdmo_classic,oncology_hpapi,originator_pharma",crustdata,Pharmaceutical Manufacturing / CordenPharma is your full-service partner in the Contract Development & Manufact,7.315668202764977% growth,https://www.cordenpharma.com,"cytostatika_hpapi,oncology_general",Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,7.315668202764977,0.7027027027027027,38.510914346846334,,,0,,,,,500000000,1000000000,2006,acquired,,60852,1331758
Boehringer Ingelheim BioXcellence,AUT,Vienna,"~1,800 (Vienna)",atmp_cell_gene,research,"Viral vector (lentivirus, AAV), microbial, mAb",Vienna viral-vector ATMP facility (EUR 700M biotech expansion incl. mRNA pilot) operational 2024,https://www.boehringer-ingelheim.com/biopharmaceuticals,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,0.0,0.0,0.0,,,,,,,,0,0,,,,16,97163097
SCHOTT Pharma,DEU,Mainz,1195,"cdmo_classic,oncology_hpapi,originator_pharma,vaccines",crustdata+research,Pharmaceutical Manufacturing / Human health matters. That is why SCHOTT Pharma designs solutions grounded in sc,7.949412827461607% growth,https://www.schott-pharma.com,cytostatika_hpapi,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,7.949412827461607,2.4871355060034306,33.106823693927936,,,0,,,,,0,0,2022,,,60919,10909015
Biotest GmbH & Co. KGaA,DEU,Dreieich,1060,"oncology_hpapi,originator_pharma,plasma_fractionation,specialty_orphan",crustdata+research,"Pharmaceutical Manufacturing / At Biotest, we develop and produce life-saving medicines for seriously ill peopl",9.165808444902163% growth,http://www.biotest.de,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,9.165808444902163,2.021174205967276,22.395493625852357,,,0,,,,,500000000,1000000000,1946,acquired,,20642,796658
Takeda Linz,AUT,Linz,"~1,000",plasma_fractionation,research,"Biologics (oncology + plasma-derived fill/finish), prefilled syringe filling",beePFS Prefilled Syringe project — 2024 ISPE FOYA Operations winner; ongoing biologics line expansion,https://ispe.org/facility-year-awards/winners/2024/operations,oncology_general,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,,,,,,,,,,,,,,,,,
Rentschler Biopharma,DEU,Laupheim,898,"cdmo_classic,sterile_generics,vaccines",crustdata+research+research+research,Biotechnology Research / Rentschler Biopharma is a leading contract development and manufacturing organiz,€150M Laupheim expansion + Milford US 2024,http://www.rentschler-biopharma.com,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,4.29732868757259,0.5599104143337066,17.540903026472858,series_a,2016-05-18,1600000,,,,,500000000,1000000000,1927,,,33478,2408523
Pfizer Illertissen (BioNTech-comirnaty + injectables),DEU,Illertissen,800,sterile_generics,research,,Cytotoxic line expansion EUR 40M,pfizer.de,cytostatika_hpapi,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,,,,,,,,,,,,,,,,,
CARBOGEN AMCIS,CHE,Bubendorf,735,"oncology_hpapi,originator_pharma",crustdata,Pharmaceutical Manufacturing / CARBOGEN AMCIS leverages its world-class chemistry skills to provide seamless dr,2.083333333333333% growth,https://www.carbogen-amcis.com,"adc,cytostatika_hpapi",Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,2.083333333333333,1.9417475728155338,23.51920156216099,,,0,,,,,500000000,1000000000,1982,,,17079,140405
Wacker Biotech,DEU,Halle / Jena / Amsterdam,~700 (biotech div.),"atmp_cell_gene,vaccines",research,"Live viral vaccines, pDNA for mRNA backbones; CordenPharma group",Halle mRNA suite operational 2024; pDNA capacity scale-up at Jena 2025,https://www.wacker.com/cms/en-us/about-wacker/wacker-facts/businesses/biosolutions/biosolutions.html,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,50.0,0.0,0.0,,,,,,,,500000,1000000,,,,1,4602487
Kite Pharma EU (Gilead),DEU,Hochstadt (Bavaria),~600,atmp_cell_gene,research,"Autologous CAR-T (Yescarta, Tecartus) commercial",2024 vector facility expansion; 2025 capacity doubling,https://www.kitepharma.com,oncology_celltherapy,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,0.0,0.0,0.0,,,,,,,,50000000,100000000,,,,88,332149
Richter Pharma AG,AUT,Wels,~520 (Wels site),veterinary_pharma,research,"Vet sterile injectables (CDMO global #1 in horse + small animal sterile), generics",Wels mega-expansion 2023-2026 EUR 80 m (new sterile suite + warehouse),https://www.richter-pharma.at,,Tier 1,8,industry=2/3 capability=2/2 size=2/2 trigger=2/2,,11.320754716981133,3.508771929824561,21.85720543144985,,,0,,,,,50000000,100000000,1918,,,2782,18209501
Polpharma Biologics,CHE,Zug,517,cdmo_classic,crustdata,Biotechnology Research / Polpharma Biologics is a biopharmaceutical company headquartered in Switzerland ,-50.808753568030454% growth,https://www.polpharmabiologics.com/,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,-50.808753568030454,-4.436229205175601,23.299226994258586,,,0,,,,,500000000,1000000000,1935,,,38441,18949263
IDT Biologika,DEU,Dessau,495,"atmp_cell_gene,cdmo_classic,vaccines",crustdata+research+research+research,"Pharmaceutical Manufacturing / IDT Biologika is your full-service CDMO for viral vaccines, cell & gene therapeu",EUR 100M+ Dessau viral-vector expansion completed 2024; mRNA drug-product line online 2025,https://idt-biologika.com,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,1.0204081632653061,0.8146639511201629,0.0,grant,2026-02-26,15244047,,,,,500000000,1000000000,1921,acquired,,14705,359375
Biosynth,CHE,Thal,410,"oncology_hpapi,vaccines",crustdata,"Pharmaceutical Manufacturing / Critical Raw Materials and Services for Diagnostics, Vaccines and Pharmaceutical",-5.092592592592593% growth,https://www.biosynth.com,adc,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,-5.092592592592593,-1.6786570743405276,40.85243784307394,,,0,,,,,500000000,1000000000,1966,acquired,,43622,9444277
Minaris Regenerative Medicine (ex-Eufets),DEU,Idar-Oberstein,~350,atmp_cell_gene,research,"CAR-T, TCR-T, MSC, dendritic cell CDMO",2024 expansion of fill/finish + cryostorage; serving Adaptimmune/Medigene,https://www.minaris-rm.com,oncology_celltherapy,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,-9.090909090909092,5.263157894736842,0.0,,,,,,,,20000000,50000000,2007,,,2054,8848596
Celonic Group,CHE,Basel,344,cdmo_classic,crustdata,Pharmaceutical Manufacturing / Celonic is a “Pure Play” Biologics Contract Development Manufacturing Organizati,6.5015479876160995% growth,http://www.celonic.com,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,6.5015479876160995,1.4749262536873156,26.48532569792412,,,0,,,,,50000000,100000000,1982,,,12369,560173
ADC Therapeutics,CHE,Lausanne,282,"atmp_cell_gene,late_stage_biotech,oncology_hpapi",crustdata,Biotechnology Research / ADC Therapeutics is a commercial-stage global pioneer in the field of antibody d,-11.598746081504702% growth,http://www.adctherapeutics.com,"adc,oncology_general,radiopharma",Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,-11.598746081504702,-2.7586206896551726,15.759269424621989,post_ipo_equity,2025-10-13,1016552216,,,,,50000000,100000000,2011,,2020-05-14,23197,8297253
BioNTech IMFS,DEU,Idar-Oberstein,243,"atmp_cell_gene,cdmo_classic",crustdata,Biotechnology / BioNTech Innovative Manufacturing Services (IMFS) is a subsidary of BioNTech SE.,-6.896551724137931% growth,http://www.biontech-imfs.de,,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,-6.896551724137931,1.6736401673640167,4.673117772008497,,,0,,,,,50000000,100000000,1997,,,13305,5371448
Cellex Cell Professionals,DEU,Cologne,224,"atmp_cell_gene,cdmo_classic",crustdata+research,Biotechnology Research / Cellex Cell Professionals is a full-service CDMO for cell therapyCellex supports,2024 expansion; spin-off Glycostem partnership,http://www.cellex.me,oncology_celltherapy,Tier 1,8,industry=3/3 capability=2/2 size=2/2 trigger=1/2,,0.0,0.0,48.78875968992248,,,0,,,,,20000000,50000000,2001,,,3071,13073361
Bavarian Nordic,DK,Martinsried (R&D),~200 (DE),"late_stage_biotech,specialty_orphan,vaccines",research,"Rare/serious infectious disease vaccines (mpox, smallpox – Imvanex/Jynneos)",Mfg in Kvistgård (DK) + Thörishaus (CH); fill/finish capex ongoing,https://www.bavarian-nordic.com/locations/martinsried.aspx,,Excluded,8,industry=3/3 capability=1/2 size=2/2 trigger=2/2,non_target_country,,,,,,,,,,,,,,,,,
Aldevron (Danaher) Halle/Saale,DEU,Halle (former Polymun-aligned site via Cytiva),~150 (DE),atmp_cell_gene,research,"pDNA, mRNA inputs",DE pDNA satellite expansion 2024 (Aldevron Fargo HQ),https://www.aldevron.com/news,,Tier 1,8,industry=3/3 capability=2/2 size=1/2 trigger=2/2,,-7.2392638036809815,-1.5625,32.72302076203514,private_equity,2019-01-01,0,,,,,500000000,1000000000,1998,acquired,,23269,151339
Polymun Scientific,AUT,Klosterneuburg,~140,"atmp_cell_gene,late_stage_biotech,vaccines",research,LNP manufacturing for mRNA vaccines (BioNTech partner),"Operational LNP/lipo GMP — supports BioNTech, Curevac historically; capex ongoing",https://www.polymun.com/,,Tier 1,8,industry=3/3 capability=2/2 size=1/2 trigger=2/2,,4.444444444444445,2.1739130434782608,24.121405750798722,,,0,,,,,10000000,20000000,1992,,,777,65174186
Fresenius Kabi,DEU,Bad Homburg,24186,"atmp_cell_gene,originator_pharma,specialty_orphan,sterile_generics",crustdata+research+research+research,"Pharmaceutical Manufacturing / As a global healthcare company, Fresenius Kabi is Committed to Life. The company",EUR 250M Friedberg sterile-fill expansion 2024–25; biosimilar fill-finish line,http://www.fresenius-kabi.com,oncology_general,Tier 1,7,industry=3/3 capability=2/2 size=0/2 trigger=2/2,,5.293861558554636,1.8400774769463977,21.63368716851307,,,0,,,,,1000000000,1000000000000,1999,,,488251,9711
Roche Diagnostics / Roche Pharma,DEU,"Penzberg, Mannheim","~8,500",originator_pharma,research,"Biologics (Avastin, Herceptin, MabThera), diagnostics reagents",EUR 700M Penzberg new biologics & fill-finish facility (commissioning 2024–2026),https://www.roche.com/media/releases/med-cor-2022-04-25,,Tier 1,7,industry=2/3 capability=2/2 size=1/2 trigger=2/2,,,,,,,,,,,,0,0,,,,,32864556
Sartorius,DEU,Göttingen,6826,"bioprocess_vendors,late_stage_biotech,vaccines",crustdata,Biotechnology Research / Sartorius is a leading international partner of biopharma research and manufactu,7.040928336208248% growth,http://www.sartorius.com,,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,7.040928336208248,1.8805970149253732,26.22356617480022,post_ipo_debt,2023-09-07,3209472652,,,,,1000000000,1000000000000,,,1990-07-10,250035,15749
Vetter Pharma-Fertigung (originator-owned where exclusive),DEU,"Ravensburg, Langenargen","~6,500","bioprocess_vendors,originator_pharma,sterile_generics",research,NOTE: borderline CDMO; included only because of originator-owned biologics fill-finish JV,EUR 200M Ravensburg Schützenstrasse expansion + USA but DACH HQ; Langenargen lyo new build 2025,https://www.vetter-pharma.com/en/news,,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,8.170515097690942,2.1812080536912752,36.0212641099106,,,0,,,,,1000000000,1000000000000,1950,,,39404,794599
Ferring Pharmaceuticals,CHE,Saint-Prex,6217,"atmp_cell_gene,originator_pharma,specialty_orphan",crustdata,"Pharmaceutical Manufacturing / Ferring Pharmaceuticals is a privately owned, research-driven, specialty biophar",1.0729962607706063% growth,http://www.ferring.com,oncology_general,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,1.0729962607706063,-1.003184713375796,0.0,debt_financing,2023-03-17,530877573,,,,,1000000000,1000000000000,1950,,,350741,163789
Miltenyi Biotec,DEU,Bergisch Gladbach (HQ) + Teterow,"~5,000",atmp_cell_gene,research,"Autologous CAR-T, NK, gene-modified TILs (CliniMACS Prodigy platform)",2024: Teterow site expansion; 2025: new viral vector + cell therapy lines,https://www.miltenyibiotec.com,oncology_celltherapy,Tier 1,7,industry=3/3 capability=2/2 size=1/2 trigger=1/2,,9.368703828072531,2.260596546310832,0.0,,,0,,,,,500000000,1000000000,1989,,,122056,26033
Janssen-Cilag (Johnson & Johnson Innovative Medicine),DEU,"Schaffhausen (CH), Neuss (DE)","~3,800 (DACH)","originator_pharma,vaccines",research,"Oncology (Darzalex, Imbruvica), immunology, neuroscience",CHF 250M Schaffhausen biologics + Neuss expansion 2024–2026,https://www.jnj.com/innovative-medicine/manufacturing,oncology_general,Tier 1,7,industry=2/3 capability=2/2 size=1/2 trigger=2/2,,100.0,100.0,0.0,,,,,,,,0,0,,,,4926,100128714
Galenica,CHE,Bern,3163,"originator_pharma,sterile_generics",crustdata+research+research,Pharmaceutical Manufacturing / Galenica is the leading fully-integrated healthcare provider in Switzerland. Wit,Verfora + Padma + Glycine; capex on logistics,http://www.galenica.com,,Tier 1,7,industry=3/3 capability=1/2 size=1/2 trigger=2/2,,6.713900134952766,2.761533463287849,23.379651660797563,,,0,,,,,1000000000,1000000000000,1927,,2017-04-07,25927,1520327
PSI CRO,CHE,Zug,2811,originator_pharma,crustdata,Pharmaceutical Manufacturing / PSI is a leading full-service global Contract Research Organization whose key st,12.26038338658147% growth,http://www.psi-cro.com,"oncology_general,radiopharma",Tier 1,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,12.26038338658147,1.8847408481333816,34.32402453347253,,,0,,,,,500000000,1000000000,1995,,,329384,296063
Vetter Pharma,DEU,Ravensburg,2436,"cdmo_classic,originator_pharma,vaccines",crustdata+research,Pharmaceutical Manufacturing / We turn active ingredients into medicine. As one of the leading pharmaceutical s,8.170515097690942% growth,https://www.vetter-pharma.com,oncology_general,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,8.170515097690942,2.1812080536912752,36.0212641099106,,,0,,,,,1000000000,1000000000000,1950,,,39404,794599
Pfizer Manufacturing Deutschland GmbH,DEU,"Freiburg im Breisgau, Illertissen, Karlsruhe","~2,400 (DE mfg)","originator_pharma,sterile_generics,vaccines",research,Sterile injectables incl. Comirnaty fill-finish (BioNTech partnership 2021–),USD 120M Freiburg sterile-fill modernization 2024–26 (post-Hospira integration),https://www.pfizer.de/freiburg-investment,oncology_general,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Berlin-Chemie AG (Menarini Group),DEU,Berlin (Adlershof),"1,900",sterile_generics,research,,EUR 130M Adlershof sterile-fill new plant on-stream 2025; lyo capacity +60%,berlin-chemie.de,,Tier 1,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,3.493862134088763,1.906090190609019,31.713327042046764,,,0,,,,,500000000,1000000000,,,,25123,46085
Vifor Pharma / CSL Vifor,CHE,"Villars-sur-Glâne, St. Gallen, Ittigen","1,800",sterile_generics,research,,CHF 150M St. Gallen sterile expansion 2024–26 post-CSL acquisition,cslvifor.com,,Tier 1,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,,,,,,,,,,,,,,,,,
Octapharma Springe,DEU,Springe (Hannover),"~1,500",plasma_fractionation,research,"Base fractionation, purification, pharmaceutical production for octagam/Albunorm/Nuwiq",Continuous capex (state-of-the-art base fractionation line upgrades); part of Octapharma EUR ~200 M+/yr group plant capex,https://www.octapharma.de/karriere/produktionsstandort,,Tier 1,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,4.9504950495049505,3.9215686274509802,73.13812858052196,,,0,,,,,500000000,1000000000,1983,,,2720,41184238
Swixx BioPharma,CHE,Baar,1473,originator_pharma,crustdata,"Pharmaceutical Manufacturing / Swixx BioPharma is designed to fully replace biopharma, OTC and medical device m",16.442687747035574% growth,http://www.swixxbiopharma.com,,Tier 1,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,16.442687747035574,3.8054968287526427,63.61545832002555,debt_financing,2025-12-15,122747551,,,,,500000000,1000000000,2014,acquired,,25614,20116603
PolyPeptide Group,CHE,Baar,1408,"cdmo_classic,originator_pharma,specialty_orphan",crustdata,Pharmaceutical Manufacturing / PolyPeptide Group AG with its consolidated subsidiaries (“PolyPeptide”) is a foc,4.684014869888476% growth,http://www.polypeptide.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,4.684014869888476,1.2949640287769784,30.802161263507898,post_ipo_debt,2025-05-23,161806401,,,,,500000000,1000000000,1996,,2021-04-29,31471,60184
ZETA,AUT,Lieboch,1356,"bioprocess_vendors,cdmo_classic,originator_pharma",crustdata+research,Pharmaceutical Manufacturing / The ZETA Group is an end-to-end solution provider operating globally and special,9.26672038678485% growth,https://www.zeta.com/,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,9.26672038678485,3.1963470319634704,23.703344643722733,,,0,,,,,500000000,1000000000,1989,,,15312,898735
Salutas Pharma GmbH (Sandoz),DEU,Barleben (Magdeburg),"1,250",sterile_generics,research,,EUR 70M Barleben aseptic line 2025,sandoz.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-20.0,-20.0,0.0,,,,,,,,0,500000,,,,4,33865940
Stallergenes Greer,CHE,Baar,1147,"originator_pharma,specialty_orphan",crustdata+research,Pharmaceutical Manufacturing / Stallergenes Greer is a global biopharmaceutical company specialising in allergy,4.557885141294439% growth,https://www.stallergenesgreer.com,,Tier 1,7,industry=2/3 capability=2/2 size=2/2 trigger=1/2,,4.557885141294439,0.0,16.309298228117417,post_ipo_debt,2016-12-01,53319115,,,,,500000000,1000000000,2015,acquired,2014-12-31,34987,28664
Roehm,DEU,Darmstadt,967,oncology_hpapi,crustdata,chemical manufacturing / Röhm is one of the world's leading manufacturers in the field of methacrylate ch,,https://www.roehm.com/,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-0.4119464469618949,0.20725388601036268,17.304021183570416,,,0,,,,,500000000,1000000000,2019,acquired,,19049,20160157
EVER Pharma cell arm,AUT,Unterach,~900 (group),atmp_cell_gene,research,Cell-therapy fill/finish CDMO,2024 cell therapy fill/finish line,https://everpharma.com,,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-27.27272727272727,0.0,0.0,,,,,,,,1000000,2500000,2018,,,2700,80406584
University of Heidelberg,DEU,Heidelberg,858,oncology_hpapi,crustdata,research services / Heidelberg University is one of the top-ranking locations in the world of intern,,http://www.uni-heidelberg.de,,Excluded,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,industrial_false_positive,-2.054794520547945,-0.11641443538998836,0.0,,,,,,,,1000000000,1000000000000,,,,15206,14739
medac group,DEU,Wedel,830,"originator_pharma,sterile_generics",crustdata+research,"Pharmaceutical Manufacturing / At medac Group, we believe that health is humanity’s most valuable resource. Sin",5.597964376590331% growth,http://www.medac-group.com,oncology_general,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,5.597964376590331,0.850546780072904,33.27221846955515,,,0,,,,,500000000,1000000000,,,,13811,61638
Axplora,DEU,Raubling,809,"cdmo_classic,originator_pharma",crustdata,"Pharmaceutical Manufacturing / We are Axplora, a company bringing together Farmabios, Novasep and PharmaZell. A",5.751633986928105% growth,http://www.axplora.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,5.751633986928105,2.275600505689001,27.17309462059734,,,0,,,,,500000000,1000000000,,,,15201,86461838
G.L. Pharma GmbH,AUT,Lannach,750,sterile_generics,research,,EUR 60M Lannach sterile-fill + lyo expansion 2024–26,gl-pharma.at,,Tier 1,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,,,,,,,,,,,,,,,,,
Idorsia Pharmaceuticals Ltd,CHE,Allschwil,718,"late_stage_biotech,originator_pharma,specialty_orphan",crustdata+research+research+research,"Pharmaceutical Manufacturing / The purpose of Idorsia is to discover, develop, and commercialize innovative med",FDA approved Mar 2024; US commercial launch Oct 2024 — first commercial product,http://www.idorsia.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,-9.457755359394703,1.5558698727015559,22.406275060144345,post_ipo_equity,2025-10-10,2548472712,,,,,500000000,1000000000,2017,,2017-06-16,48845,11051230
Teva ratiopharm Werk Weiler,DEU,Weiler im Allgäu,700,sterile_generics,research,,EUR 60M PFS line expansion 2025,teva.com,,Tier 1,7,industry=3/3 capability=0/2 size=2/2 trigger=2/2,,125.0,58.82352941176471,0.0,,,,,,,,0,0,1984,,,579,105941322
CureVac,DEU,Tübingen,646,"atmp_cell_gene,late_stage_biotech,vaccines",crustdata+research+research,Biotechnology Research / CureVac (Nasdaq: CVAC) is a pioneering multinational biotech company founded in ,"GSK acquisition completed 2025; Tübingen mRNA line retained, LNP R&D continues",http://curevac.com,oncology_general,Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,-8.368794326241135,-2.564102564102564,8.967930247352468,post_ipo_equity,2023-02-07,2096241423,,,,,500000000,1000000000,2000,acquired,2020-08-14,58239,806783
ITM Isotope Technologies Munich SE,DEU,Garching,637,"late_stage_biotech,oncology_hpapi,originator_pharma",crustdata+research,"Pharmaceutical Manufacturing / PASSION FOR PRECISION.ITM, a leading radiopharmaceutical biotech company, is ded","New 5,000 m² Neufahrn GMP plant operational (9 mfg lines); Actineer JV for Ac-225",http://www.itm-radiopharma.com,"oncology_general,radiopharma",Tier 1,7,industry=3/3 capability=2/2 size=2/2 trigger=0/2,,20.18867924528302,1.5948963317384368,0.0,debt_financing,2025-05-27,1009785464,,,,,500000000,1000000000,2004,acquired,,22346,3300101
Nuvisan,DEU,Neu Ulm,634,cdmo_classic,crustdata,"Biotechnology Research / Your partner of choice in bringing therapeutics to life, Nuvisan is the unique C",-1.5527950310559007% growth,http://www.nuvisan.com,,Tier 1,7,industry=3/3 capability=1/2 size=2/2 trigger=1/2,,-1.5527950310559007,-0.15748031496062992,17.236601801120976,grant,2022-09-20,9600000,,,,,500000000,1000000000,1979,,,18616,1493702
